MINE_ID|MINE_NAME|MINE_TYPE|MINE_STATUS|OPERATOR_NAME|OPERATOR_GROUP|CONTROLLER_NAME|STATE|COUNTY|LATITUDE|LONGITUDE|REGION_CODE|PRIMARY_SIC|PRIMARY_CANVASS|NO_EMPLOYEES|NEAREST_TOWN
2700527|Coon Brook Pit|Surface|Active|K.A. Stevens & Son, Inc.|OTHER|Joshua K Stevens; Alyssa S Stevens|NH|Sullivan|43.365556|-72.191389|OTHER|Construction Sand and Gravel|SandAndGravel|3|Newport
2700528|South danbury pit|Surface|Intermittent|Phelps Construction Inc.|OTHER|James D  Phelps|NH|Merrimack|43.477222|-71.889167|OTHER|Construction Sand and Gravel|SandAndGravel|1|Andover
2700529|Gordon Gravel and Stone LLC|Surface|Active|Gordon Gravel and Stone LLC|OTHER|Cody  Gordon|NH|Cheshire|42.968611|-72.226667|OTHER|Crushed, Broken Limestone NEC|Stone|3|Keene
2700530|Portable Sand Screen Plant|Surface|Intermittent|Alvin J. Coleman & Son Inc.|OTHER|Calvin J  Coleman|NH|Carroll|43.848233|-71.20743|OTHER|Construction Sand and Gravel|SandAndGravel|2|Tamworth
2700531|Terex-Finley 1540C Portable Cone|Surface|Intermittent|Presby Construction Inc.|OTHER|Trevor  Presby; Thaddeus  Presby|NH|Grafton|44.243056|-71.871389|OTHER|Construction Sand and Gravel|SandAndGravel|2|Portable Plant
2700535|Surry Sand & Gravel LLC|Surface|Intermittent|Surry Sand & Gravel LLC|OTHER|Jason W  Anyan|NH|Cheshire|43.019223|-72.326514|OTHER|Construction Sand and Gravel|SandAndGravel|1|Surry
2700536|Metallak Sand and Gravel|Surface|Intermittent|Ransom Placey|OTHER|Ransom D Placey|NH|Coos|44.954325|-71.449731|OTHER|Construction Sand and Gravel|SandAndGravel|1|Stewartstown
2700537|Cheshire Quarry|Surface|Active|St Pierre Inc|OTHER|Charles W St Pierre; Albert A St Pierre; Jeremy  St Pierre|NH|Cheshire|42.905833|-72.1875|OTHER|Construction Sand and Gravel|SandAndGravel|4|Marlborough
2700539|Associated Aggregate|Surface|Intermittent|Associated Aggregates LLC|OTHER|Ethan D Preston|NH|Hillsborough|42.962222|-71.696389|OTHER|Construction Sand and Gravel|SandAndGravel|2|New Boston
2700540|Don Wheeler Construction|Surface|Intermittent|Don Wheeler Construction Inc|OTHER|Colin D Newbold|NH|Hillsborough|42.961389|-71.698333|OTHER|Construction Sand and Gravel|SandAndGravel|3|New Boston
